datetime,price
2020-02-27,16133.040935672514
2020-02-28,16430.258823529413
2020-02-29,16509.561151079135
2020-03-02,16738.66511627907
2020-03-03,17324.782828282827
2020-03-04,17546.71497584541
2020-03-05,15915.2538071066
2020-03-06,15816.735930735931
2020-03-07,14945.59748427673
2020-03-09,15238.875
2020-03-10,15334.928229665073
2020-03-11,15874.096446700507
2020-03-12,16173.385416666666
2020-03-13,16159.261603375528
2020-03-14,15471.121212121212
2020-03-16,15749.621276595744
2020-03-17,15499.401869158879
2020-03-18,15744.234449760766
2020-03-19,16058.391509433963
2020-03-20,15090.396984924622
2020-03-21,15664.685185185184
2020-03-23,15378.582222222221
2020-03-24,14833.180327868853
2020-03-25,15656.8
2020-03-26,16311.947976878613
2020-03-27,17193.586021505376
2020-03-28,16526.75816993464
2020-03-30,16676.187214611873
2020-03-31,15796.487922705313
2020-04-01,16858.630331753553
2020-04-02,16594.374407582938
2020-04-03,17383.034188034188
2020-04-04,29884.322580645163
2020-04-06,16721.594017094016
2020-04-07,16415.765853658537
2020-04-08,16879.935483870966
2020-04-09,16064.91707317073
2020-04-10,16773.942222222224
2020-04-11,16764.159763313608
2020-04-13,17343.67410714286
2020-04-14,18036.95566502463
2020-04-15,18464.779069767443
2020-04-16,18367.43093922652
2020-04-17,18775.66
2020-04-18,19066.913669064747
2020-04-20,19425.52736318408
2020-04-21,19147.952127659573
2020-04-22,19225.142045454544
2020-04-23,20022.172588832487
2020-04-24,20538.42105263158
2020-04-25,20104.79268292683
2020-04-27,21611.41379310345
2020-04-28,20356.471794871795
2020-04-29,21361.91282051282
2020-04-30,21080.286666666667
2020-05-01,21156.632768361582
2020-05-02,19297.86923076923
2020-05-04,21921.690217391304
2020-05-05,23922.252631578947
2020-05-06,22608.165680473372
2020-05-07,22517.213836477986
2020-05-08,22514.771276595744
2020-05-09,22316.41304347826
2020-05-11,23122.746411483255
2020-05-12,25125.80239520958
2020-05-13,23742.86592178771
2020-05-14,24161.24683544304
2020-05-15,24563.38953488372
2020-05-16,23155.912
2020-05-18,24940.825581395347
2020-05-19,26688.68085106383
2020-05-20,26002.072368421053
2020-05-21,27376.1059602649
2020-05-22,27224.491712707182
2020-05-23,26103.471153846152
2020-05-25,31665.552631578947
2020-05-26,28982.636363636364
2020-05-27,27811.910256410258
2020-05-28,26230.827027027026
2020-05-29,28532.382716049382
2020-05-30,27507.88888888889
2020-06-01,26982.52258064516
2020-06-02,28830.627737226278
2020-06-03,28376.231884057972
2020-06-04,29222.144927536232
2020-06-05,28930.41176470588
2020-06-06,28920.21978021978
2020-06-08,28446.745664739883
2020-06-09,30653.043478260868
2020-06-10,43068.0875
2020-06-11,29683.512396694216
2020-06-12,28464.173228346455
2020-06-13,29727.780821917808
2020-06-15,28211.27397260274
2020-06-16,30241.258992805757
2020-06-17,29248.405594405594
2020-06-18,31078.93650793651
2020-06-19,30316.584
2020-06-20,29394.156626506025
2020-06-22,31274.938775510203
2020-06-23,32439.774774774774
2020-06-24,28894.457364341084
2020-06-25,32965.05952380953
2020-06-26,30222.136690647483
2020-06-27,31935.04054054054
2020-06-29,33685.22123893805
2020-06-30,33444.39705882353
2020-07-01,35940.75
2020-07-02,34235.39047619048
2020-07-03,35894.818181818184
2020-07-04,31323.387096774193
2020-07-06,36222.30841121495
2020-07-07,34224.3
2020-07-08,32630.940594059404
2020-07-09,37562.77647058824
2020-07-10,35300.76404494382
2020-07-11,30775.326923076922
2020-07-13,35684.469879518074
2020-07-14,39732.25862068965
2020-07-15,35000.03
2020-07-16,36447.693181818184
2020-07-17,33748.90789473684
2020-07-18,29832.056603773584
2020-07-20,37283.68421052631
2020-07-21,36398.661538461536
2020-07-22,36634.582278481015
2020-07-23,39306.1282051282
2020-07-24,33792.88524590164
2020-07-25,36115.21621621621
2020-07-27,34049.137931034486
2020-07-28,31079.277777777777
2020-07-29,33287.03921568627
2020-07-30,33544.78125
2020-07-31,35594.3870967742
2020-08-01,35359.083333333336
2020-08-03,37519.24528301887
2020-08-04,36457.5
2020-08-05,30110.454545454544
2020-08-06,34938.09375
2020-08-07,34104.72727272727
2020-08-08,28336.7
2020-08-10,35361.708333333336
2020-08-11,36544.117647058825
2020-08-12,35742.13513513513
2020-08-13,28648.041666666668
2020-08-14,30297.17391304348
2020-08-15,27262.85714285714
2020-08-17,30906.85714285714
2020-08-18,42764.916666666664
2020-08-19,35347.25
2020-08-20,26390.5625
2020-08-21,29007.791666666668
2020-08-22,28498.2
2020-08-24,25675.277777777777
2020-08-25,25563.375
2020-08-26,33892.375
2020-08-27,21000.0
2020-08-28,21172.238095238095
2020-08-29,20674.833333333332
2020-08-31,25905.5
2020-09-01,20245.0
2020-09-02,22891.5
2020-09-03,25789.0
2020-09-04,20175.0
2020-09-05,26833.0
2020-09-07,163067.16666666666
2020-09-08,17750.0
2020-09-09,24250.0
2020-09-11,19322.0
2020-09-12,40300.0
2020-09-14,17143.4
2020-09-15,57379.0
2020-09-16,24892.75
2020-09-17,41899.454545454544
2020-09-18,54416.75
2020-09-19,39511.92857142857
2020-09-21,37811.42857142857
2020-09-22,63697.57142857143
2020-09-23,39474.6
2020-09-24,40024.76470588235
2020-09-25,38496.46808510638
2020-09-26,38844.365853658535
2020-09-28,35245.885714285716
2020-09-29,39934.666666666664
2020-09-30,57138.0
2020-10-08,40899.01052631579
2020-10-09,38924.4435483871
2020-10-10,36131.81538461539
2020-10-12,33557.07106598985
2020-10-13,35808.64968152866
2020-10-14,29611.427835051545
2020-10-15,28417.1875
2020-10-16,26259.444444444445
2020-10-17,28851.145077720208
2020-10-19,25557.36244541485
2020-10-20,27045.147321428572
2020-10-21,25388.058558558558
2020-10-22,24009.453333333335
2020-10-23,25088.757709251102
2020-10-24,24043.533653846152
2020-10-26,23722.39393939394
2020-10-27,25288.75
2020-10-28,23226.72596153846
2020-10-29,25410.1
2020-10-30,22814.508928571428
2020-10-31,21333.119402985074
2020-11-02,21444.97807017544
2020-11-03,20966.64285714286
2020-11-04,21521.467661691542
2020-11-05,22323.841628959275
2020-11-06,24207.41148325359
2020-11-07,23078.19680851064
2020-11-09,21774.495145631066
2020-11-10,21187.49504950495
2020-11-11,20462.971153846152
2020-11-12,20418.676328502417
2020-11-13,21007.60849056604
2020-11-14,20473.653266331658
2020-11-16,21832.556603773584
2020-11-17,21349.23113207547
2020-11-18,22979.313725490196
2020-11-19,21533.082417582416
2020-11-20,22584.461077844313
2020-11-21,21822.868852459018
2020-11-23,23708.559405940596
2020-11-24,22349.639784946237
2020-11-25,25232.527093596058
2020-11-26,24417.28717948718
2020-11-27,23269.44019138756
2020-11-28,22067.30188679245
2020-11-30,25605.78947368421
2020-12-01,25567.108374384236
2020-12-02,25811.21568627451
2020-12-03,24457.719101123595
2020-12-04,24652.84293193717
2020-12-05,25498.92086330935
2020-12-07,26791.873684210525
2020-12-08,28194.43181818182
2020-12-09,29060.37951807229
2020-12-10,27968.183783783785
2020-12-11,25276.183783783785
2020-12-12,25905.74213836478
2020-12-14,26828.70857142857
2020-12-15,29347.688741721853
2020-12-16,23649.914285714287
2020-12-17,26708.41212121212
2020-12-18,27010.3216080402
2020-12-19,25703.61842105263
2020-12-21,27694.12254901961
2020-12-22,27513.34554973822
2020-12-23,26558.29383886256
2020-12-24,25859.354066985645
2020-12-25,36580.36723163842
2020-12-26,26948.21818181818
2020-12-28,27290.041860465117
2020-12-29,27137.378048780487
2020-12-30,26856.555555555555
2020-12-31,30120.607476635512
2021-01-02,25839.6
2021-01-04,25916.36274509804
2021-01-05,28994.020408163266
2021-01-06,28611.22346368715
2021-01-07,29805.08108108108
2021-01-08,26412.090909090908
2021-01-09,28667.0
2021-01-11,31297.29268292683
